Date;Title;type 
2019-08-15;Liberation Day;National holiday
2019-09-12;Chuseok Holiday;Public Holiday
2019-09-13;Chuseok;Public Holiday
2019-09-14;Chuseok Holiday;Public Holiday
2019-10-03;National Foundation Day;National holiday
2019-10-09;Hangeul Proclamation Day;National holiday
2019-12-25;Christmas Day;Public Holiday
2020-01-01;New Year's Day;Public Holiday
2020-01-25;Seollal Holiday;Public Holiday
2020-01-27;Seollal Holiday;Public Holiday
2020-02-14;Valentine's Day;Observance
2020-03-01;Independence Movement Day;National holiday
2020-03-20;March Equinox;Season
2020-04-05;Arbor Day;Observance
2020-04-15;National Assembly Election Day;Public Holiday
2020-04-30;Buddha's Birthday;Public Holiday
2020-05-01;Labor Day;Bank Holiday
2020-05-05;Children's Day;Public Holiday
2020-05-08;Parents' Day;Observance
2020-05-15;Teacher's Day;Observance
